index_config,query,expected_plan_family,observed_plan_family,index_name,est_rows,actual_rows,planning_ms,execution_ms,shared_hit,shared_read,heap_fetches,index_names,index_count,total_index_size_bytes,total_index_size_pretty,total_idx_scan,total_idx_tup_read,total_idx_tup_fetch,n_live_tup,n_dead_tup,n_mod_since_analyze,table_size_bytes,table_size_pretty,snapshot_ts,status,notes
brin,SELECT,SELECT,Seq Scan,,,,0.483,27.812,86,0,0,idx_brin; temporal_data_pkey,2,5652480,5520 kB,0,0,0,250000,0,0,27090944,26 MB,2026-04-30T12:16:48.013340,failure,
brin,INSERT,INSERT,Insert on,,,,0.239,58.616,27,0,0,idx_brin; temporal_data_pkey,2,5652480,5520 kB,0,0,0,250000,0,0,27090944,26 MB,2026-04-30T12:16:48.013340,success,
brin,UPDATE,UPDATE,Update on,,,,0.299,100.098,77,0,0,idx_brin; temporal_data_pkey,2,5652480,5520 kB,0,0,0,250000,0,0,27090944,26 MB,2026-04-30T12:16:48.013340,success,
brin,DELETE,DELETE,Delete on,,,,0.519,58.935,81,0,0,idx_brin; temporal_data_pkey,2,5652480,5520 kB,0,0,0,250000,0,0,27090944,26 MB,2026-04-30T12:16:48.013340,success,
btree,SELECT,SELECT,Seq Scan,,,,0.421,27.860,92,0,0,idx_btree; temporal_data_pkey,2,12476416,12 MB,0,0,0,250000,0,0,33890304,32 MB,2026-04-30T12:16:44.379904,failure,
btree,INSERT,INSERT,Insert on,,,,0.242,91.939,27,0,0,idx_btree; temporal_data_pkey,2,12476416,12 MB,0,0,0,250000,0,0,33890304,32 MB,2026-04-30T12:16:44.379904,success,
btree,UPDATE,UPDATE,Update on,idx_btree,,,0.536,102.800,102,0,0,idx_btree; temporal_data_pkey,2,12476416,12 MB,0,0,0,250000,0,0,33890304,32 MB,2026-04-30T12:16:44.379904,success,
btree,DELETE,DELETE,Delete on,,,,0.479,56.387,87,0,0,idx_btree; temporal_data_pkey,2,12476416,12 MB,0,0,0,250000,0,0,33890304,32 MB,2026-04-30T12:16:44.379904,success,
gist_attr_period,SELECT,SELECT,Aggregate,idx_gist_attr_period,,,1.268,10.044,185,0,0,idx_gist_attr_period; temporal_data_pkey,2,37208064,35 MB,0,0,0,250000,0,0,58621952,56 MB,2026-04-30T12:17:03.838222,success,
gist_attr_period,INSERT,INSERT,Insert on,,,,0.241,395.826,27,0,0,idx_gist_attr_period; temporal_data_pkey,2,37208064,35 MB,0,0,0,250000,0,0,58621952,56 MB,2026-04-30T12:17:03.838222,success,
gist_attr_period,UPDATE,UPDATE,Update on,,,,0.820,433.534,166,0,0,idx_gist_attr_period; temporal_data_pkey,2,37208064,35 MB,0,0,0,250000,0,0,58621952,56 MB,2026-04-30T12:17:03.838222,success,
gist_attr_period,DELETE,DELETE,Delete on,,,,0.889,57.560,176,0,0,idx_gist_attr_period; temporal_data_pkey,2,37208064,35 MB,0,0,0,250000,0,0,58621952,56 MB,2026-04-30T12:17:03.838222,success,
gist_period,SELECT,SELECT,Aggregate,idx_gist_period,,,0.455,20.538,83,0,0,idx_gist_period; temporal_data_pkey,2,23420928,22 MB,0,0,0,250000,0,0,44834816,43 MB,2026-04-30T12:16:54.116349,success,
gist_period,INSERT,INSERT,Insert on,,,,0.236,274.406,27,0,0,idx_gist_period; temporal_data_pkey,2,23420928,22 MB,0,0,0,250000,0,0,44834816,43 MB,2026-04-30T12:16:54.116349,success,
gist_period,UPDATE,UPDATE,Update on,,,,0.418,238.483,77,0,0,idx_gist_period; temporal_data_pkey,2,23420928,22 MB,0,0,0,250000,0,0,44834816,43 MB,2026-04-30T12:16:54.116349,success,
gist_period,DELETE,DELETE,Delete on,idx_gist_period,,,0.496,0.095,80,0,0,idx_gist_period; temporal_data_pkey,2,23420928,22 MB,0,0,0,250000,0,0,44834816,43 MB,2026-04-30T12:16:54.116349,success,
hst_gist,SELECT,SELECT,Seq Scan,,,,0.420,26.548,84,0,0,idx_hst_gist; temporal_data_pkey,2,15794176,15 MB,0,0,0,250000,0,0,37208064,35 MB,2026-04-30T12:17:09.061581,failure,
hst_gist,INSERT,INSERT,Insert on,,,,0.277,134.974,27,0,0,idx_hst_gist; temporal_data_pkey,2,15794176,15 MB,0,0,0,250000,0,0,37208064,35 MB,2026-04-30T12:17:09.061581,success,
hst_gist,UPDATE,UPDATE,Update on,,,,0.425,281.230,77,0,0,idx_hst_gist; temporal_data_pkey,2,15794176,15 MB,0,0,0,250000,0,0,37208064,35 MB,2026-04-30T12:17:09.061581,success,
